Source,Target,Type,Weight
567268592,243832139,undirected,1
567268592,245296348,undirected,1
567268592,248676424,undirected,1
567268592,249072214,undirected,1
567268592,249832943,undirected,1
567268592,250058208,undirected,1
567268592,250693087,undirected,1
567268592,251530516,undirected,1
567268592,251706342,undirected,1
567268592,251759221,undirected,1
567268592,252343451,undirected,1
567268592,253423920,undirected,1
567268592,253562403,undirected,1
567268592,256470829,undirected,1
567268592,256566663,undirected,1
567268592,257385439,undirected,1
567268592,258963804,undirected,1
567268592,259088207,undirected,1
567268592,259092763,undirected,1
567268592,259618514,undirected,1
567268592,259650149,undirected,1
567268592,261697233,undirected,1
567268592,262921051,undirected,1
567268592,264819143,undirected,1
567268592,265576038,undirected,1
567268592,266461349,undirected,1
567268592,266746060,undirected,1
567268592,266983684,undirected,1
567268592,268353067,undirected,1
567268592,268689182,undirected,1
567268592,269704467,undirected,1
567268592,269927897,undirected,1
567268592,270599982,undirected,1
567268592,270644969,undirected,1
567268592,270900857,undirected,1
567268592,272264751,undirected,1
567268592,273374260,undirected,1
567268592,274033265,undirected,1
567268592,274167310,undirected,1
567268592,275045712,undirected,1
567268592,275680879,undirected,1
567268592,276973371,undirected,1
567268592,278482020,undirected,1
567268592,278723566,undirected,1
567268592,280596591,undirected,1
567268592,281019308,undirected,1
567268592,281866564,undirected,1
567268592,283119778,undirected,1
567268592,283472209,undirected,1
567268592,284517216,undirected,1
567268592,285608397,undirected,1
567268592,286040386,undirected,1
567268592,290069467,undirected,1
567268592,291468534,undirected,1
567268592,292919859,undirected,1
567268592,294363544,undirected,1
567268592,296740235,undirected,1
567268592,297098826,undirected,1
567268592,297328567,undirected,1
567268592,297890769,undirected,1
567268592,299988087,undirected,1
567268592,300041312,undirected,1
567268592,300754829,undirected,1
567268592,301760008,undirected,1
567268592,301774733,undirected,1
567268592,301964362,undirected,1
567268592,302685180,undirected,1
567268592,304142004,undirected,1
567268592,305701040,undirected,1
567268592,305867333,undirected,1
567268592,306847150,undirected,1
567268592,306906166,undirected,1
567268592,307555481,undirected,1
567268592,307850121,undirected,1
567268592,309502625,undirected,1
567268592,312623584,undirected,1
567268592,313003025,undirected,1
567268592,313208101,undirected,1
567268592,315133906,undirected,1
567268592,315447320,undirected,1
567268592,318355368,undirected,1
567268592,319399865,undirected,1
567268592,319890521,undirected,1
567268592,320686390,undirected,1
567268592,321468569,undirected,1
567268592,322129271,undirected,1
567268592,323516001,undirected,1
567268592,323697963,undirected,1
567268592,325512386,undirected,1
567268592,327258565,undirected,1
567268592,327549027,undirected,1
567268592,329057349,undirected,1
567268592,329467312,undirected,1
567268592,329656695,undirected,1
567268592,331484007,undirected,1
567268592,332280494,undirected,1
567268592,332863285,undirected,1
567268592,333605609,undirected,1
567268592,338885605,undirected,1
567268592,339108473,undirected,1
567268592,340772239,undirected,1
567268592,340843310,undirected,1
567268592,344161311,undirected,1
567268592,344777440,undirected,1
567268592,347662593,undirected,1
